NAN	3,19E-11	2,41E-11	2,29E-11	2,29E-11	2,36E-11	2,41E-11	2,51E-11	2,60E-11	2,67E-11	2,70E-11	2,73E-11	2,70E-11	2,69E-11	2,65E-11	2,64E-11	3,79E-11	NAN	4,84E-11	4,61E-11	3,98E-11	3,96E-11	4,18E-11	4,65E-11	5,40E-11	NAN	NAN	NAN	NAN	NAN	NAN	8,35E-11	1,08E-10	2,00E-10	2,38E-10	1,63E-10
NAN	2,74E-11	2,42E-11	2,34E-11	2,35E-11	2,41E-11	2,54E-11	2,68E-11	2,86E-11	2,94E-11	3,00E-11	3,05E-11	2,90E-11	2,98E-11	2,72E-11	2,73E-11	3,23E-11	3,62E-11	NAN	5,28E-11	4,54E-11	4,31E-11	4,38E-11	4,31E-11	5,70E-11	NAN	NAN	NAN	NAN	NAN	NAN	6,34E-11	5,53E-11	1,71E-10	1,99E-10	7,48E-11
NAN	2,53E-11	2,66E-11	2,45E-11	2,46E-11	2,60E-11	2,83E-11	3,16E-11	3,40E-11	3,61E-11	3,60E-11	3,49E-11	3,46E-11	3,18E-11	2,86E-11	3,18E-11	4,43E-11	4,44E-11	NAN	NAN	4,46E-11	4,61E-11	4,42E-11	4,37E-11	6,56E-11	NAN	NAN	NAN	NAN	NAN	NAN	5,04E-11	4,55E-11	1,17E-10	1,46E-10	7,22E-11
NAN	2,74E-11	3,13E-11	2,73E-11	2,67E-11	2,72E-11	2,91E-11	3,21E-11	3,51E-11	3,81E-11	3,84E-11	3,88E-11	3,98E-11	3,75E-11	3,48E-11	3,19E-11	3,25E-11	3,54E-11	NAN	NAN	3,85E-11	4,09E-11	4,76E-11	4,37E-11	4,34E-11	4,56E-11	4,83E-11	NAN	NAN	NAN	4,27E-11	4,02E-11	4,10E-11	9,77E-11	1,26E-10	5,93E-11
NAN	NAN	3,03E-11	2,60E-11	2,96E-11	2,68E-11	2,66E-11	2,76E-11	2,89E-11	3,07E-11	3,09E-11	3,39E-11	3,39E-11	3,59E-11	3,78E-11	3,70E-11	3,54E-11	3,71E-11	NAN	NAN	NAN	3,67E-11	4,08E-11	4,05E-11	4,06E-11	4,19E-11	5,81E-11	NAN	NAN	NAN	4,53E-11	4,48E-11	4,35E-11	6,13E-11	8,37E-11	4,78E-11
NAN	NAN	2,98E-11	2,97E-11	2,67E-11	2,98E-11	2,90E-11	2,68E-11	2,58E-11	2,90E-11	3,00E-11	3,31E-11	3,23E-11	3,38E-11	3,53E-11	3,92E-11	4,18E-11	4,86E-11	NAN	NAN	NAN	3,35E-11	3,93E-11	4,32E-11	4,61E-11	4,69E-11	5,70E-11	NAN	NAN	NAN	3,83E-11	4,11E-11	4,82E-11	4,92E-11	5,09E-11	4,62E-11
4,97E-11	NAN	2,73E-11	3,06E-11	2,48E-11	3,04E-11	3,07E-11	2,81E-11	2,59E-11	2,91E-11	3,19E-11	3,62E-11	3,69E-11	3,94E-11	4,18E-11	4,43E-11	4,57E-11	4,73E-11	NAN	NAN	NAN	NAN	4,16E-11	5,52E-11	6,19E-11	6,29E-11	5,12E-11	NAN	NAN	NAN	3,33E-11	3,84E-11	4,41E-11	5,10E-11	6,00E-11	5,74E-11
4,66E-11	NAN	2,53E-11	2,56E-11	2,45E-11	2,76E-11	2,70E-11	2,51E-11	2,23E-11	2,27E-11	2,44E-11	2,83E-11	3,14E-11	3,61E-11	3,99E-11	4,24E-11	4,01E-11	3,81E-11	NAN	NAN	NAN	NAN	3,69E-11	5,12E-11	6,39E-11	6,22E-11	5,12E-11	NAN	NAN	NAN	3,35E-11	3,88E-11	4,22E-11	4,81E-11	5,30E-11	5,42E-11
3,89E-11	3,29E-11	NAN	NAN	2,41E-11	2,69E-11	2,53E-11	2,33E-11	2,16E-11	1,98E-11	2,04E-11	2,25E-11	2,48E-11	2,76E-11	3,01E-11	3,16E-11	3,14E-11	3,22E-11	NAN	NAN	NAN	NAN	3,45E-11	4,11E-11	4,70E-11	5,05E-11	5,33E-11	NAN	NAN	NAN	3,38E-11	3,83E-11	4,01E-11	4,45E-11	4,90E-11	4,61E-11
3,48E-11	3,71E-11	NAN	NAN	2,41E-11	2,59E-11	2,34E-11	2,08E-11	1,97E-11	1,87E-11	1,90E-11	2,05E-11	2,24E-11	2,43E-11	2,60E-11	2,67E-11	2,58E-11	2,67E-11	NAN	NAN	NAN	NAN	3,40E-11	3,96E-11	4,26E-11	4,57E-11	5,57E-11	NAN	NAN	NAN	3,40E-11	3,52E-11	3,92E-11	4,04E-11	4,17E-11	3,99E-11
3,15E-11	3,62E-11	NAN	NAN	2,60E-11	2,41E-11	2,18E-11	1,96E-11	1,86E-11	1,82E-11	1,85E-11	1,97E-11	2,10E-11	2,26E-11	2,44E-11	2,45E-11	2,36E-11	2,59E-11	3,03E-11	NAN	NAN	NAN	3,45E-11	4,13E-11	4,24E-11	4,36E-11	5,77E-11	NAN	NAN	NAN	3,83E-11	3,53E-11	3,69E-11	3,77E-11	3,79E-11	3,60E-11
3,13E-11	3,59E-11	NAN	NAN	NAN	2,31E-11	2,09E-11	1,92E-11	1,84E-11	1,82E-11	1,87E-11	1,98E-11	2,04E-11	2,24E-11	2,26E-11	2,30E-11	2,38E-11	2,28E-11	2,66E-11	NAN	NAN	NAN	3,64E-11	4,23E-11	4,38E-11	4,19E-11	5,22E-11	NAN	NAN	3,88E-11	4,21E-11	3,54E-11	3,69E-11	3,72E-11	3,66E-11	3,43E-11
3,30E-11	3,48E-11	NAN	NAN	NAN	2,32E-11	2,22E-11	2,19E-11	2,08E-11	2,09E-11	2,12E-11	2,09E-11	2,08E-11	2,12E-11	2,13E-11	2,18E-11	2,26E-11	2,48E-11	3,11E-11	NAN	NAN	5,26E-11	3,87E-11	4,31E-11	4,14E-11	4,15E-11	4,58E-11	5,59E-11	NAN	3,78E-11	4,17E-11	3,87E-11	3,95E-11	3,82E-11	3,68E-11	3,58E-11
3,66E-11	3,40E-11	NAN	NAN	NAN	2,43E-11	2,66E-11	2,54E-11	2,35E-11	2,29E-11	2,31E-11	2,19E-11	1,98E-11	1,95E-11	1,89E-11	1,86E-11	2,06E-11	2,63E-11	3,04E-11	NAN	NAN	4,56E-11	4,05E-11	3,93E-11	3,96E-11	4,30E-11	4,50E-11	5,29E-11	NAN	4,10E-11	4,38E-11	4,11E-11	3,95E-11	3,67E-11	3,52E-11	3,52E-11
4,13E-11	3,43E-11	2,59E-11	NAN	NAN	2,92E-11	2,91E-11	2,97E-11	2,76E-11	2,68E-11	2,65E-11	2,15E-11	1,97E-11	1,98E-11	2,16E-11	2,33E-11	2,48E-11	2,90E-11	3,10E-11	NAN	NAN	5,06E-11	4,59E-11	5,14E-11	5,26E-11	5,11E-11	4,98E-11	5,27E-11	NAN	3,99E-11	4,36E-11	3,95E-11	3,84E-11	4,10E-11	4,24E-11	4,12E-11
5,05E-11	4,30E-11	3,76E-11	3,06E-11	NAN	4,34E-11	3,92E-11	3,83E-11	3,47E-11	3,15E-11	3,34E-11	3,23E-11	3,23E-11	3,36E-11	3,46E-11	3,52E-11	3,52E-11	3,60E-11	3,09E-11	NAN	7,13E-11	6,21E-11	6,94E-11	7,02E-11	6,94E-11	6,64E-11	6,02E-11	5,74E-11	6,20E-11	4,93E-11	4,90E-11	5,74E-11	5,98E-11	5,84E-11	5,82E-11	5,56E-11
6,72E-11	5,94E-11	5,10E-11	4,85E-11	5,90E-11	5,94E-11	5,32E-11	4,81E-11	4,36E-11	4,24E-11	4,44E-11	4,61E-11	4,71E-11	4,80E-11	4,88E-11	4,97E-11	4,87E-11	4,91E-11	4,36E-11	NAN	7,51E-11	7,87E-11	7,92E-11	7,73E-11	7,65E-11	7,68E-11	7,36E-11	7,16E-11	7,95E-11	7,18E-11	7,72E-11	7,99E-11	7,92E-11	7,89E-11	7,79E-11	7,39E-11
8,71E-11	7,97E-11	7,10E-11	6,71E-11	7,25E-11	7,27E-11	6,23E-11	5,59E-11	5,89E-11	6,19E-11	6,17E-11	6,02E-11	6,16E-11	6,33E-11	6,49E-11	6,65E-11	6,78E-11	6,75E-11	6,04E-11	NAN	8,31E-11	8,28E-11	8,20E-11	8,25E-11	8,43E-11	8,87E-11	8,87E-11	8,77E-11	9,42E-11	9,95E-11	9,91E-11	9,73E-11	9,52E-11	9,64E-11	9,62E-11	9,28E-11
1,10E-10	1,03E-10	9,43E-11	8,80E-11	8,73E-11	8,86E-11	8,58E-11	8,55E-11	9,02E-11	9,07E-11	8,69E-11	8,22E-11	8,17E-11	8,56E-11	8,78E-11	8,96E-11	9,10E-11	9,11E-11	7,98E-11	NAN	1,02E-10	9,99E-11	9,71E-11	9,78E-11	9,86E-11	1,04E-10	1,08E-10	1,10E-10	1,13E-10	1,16E-10	1,17E-10	1,15E-10	1,17E-10	1,17E-10	1,19E-10	1,16E-10
1,42E-10	1,37E-10	1,30E-10	1,20E-10	1,18E-10	1,16E-10	1,20E-10	1,26E-10	1,30E-10	1,29E-10	1,23E-10	1,18E-10	1,18E-10	1,20E-10	1,21E-10	1,25E-10	1,25E-10	1,23E-10	1,14E-10	1,16E-10	1,25E-10	1,28E-10	1,24E-10	1,24E-10	1,23E-10	1,29E-10	1,32E-10	1,38E-10	1,43E-10	1,43E-10	1,46E-10	1,47E-10	1,51E-10	1,50E-10	1,50E-10	1,47E-10
2,05E-10	2,02E-10	2,02E-10	1,96E-10	1,95E-10	1,93E-10	1,94E-10	1,96E-10	1,98E-10	1,98E-10	1,96E-10	1,93E-10	1,93E-10	1,93E-10	1,93E-10	1,92E-10	1,89E-10	1,87E-10	1,86E-10	1,85E-10	1,83E-10	1,80E-10	1,61E-10	1,58E-10	1,59E-10	1,78E-10	1,84E-10	1,89E-10	1,96E-10	2,05E-10	2,10E-10	2,19E-10	2,23E-10	2,24E-10	2,29E-10	2,09E-10
NAN	2,21E-10	2,13E-10	2,06E-10	2,09E-10	2,11E-10	2,20E-10	2,24E-10	2,35E-10	2,41E-10	2,44E-10	2,44E-10	2,45E-10	2,44E-10	2,39E-10	2,34E-10	2,27E-10	2,18E-10	2,13E-10	2,20E-10	2,30E-10	2,43E-10	2,49E-10	2,54E-10	2,61E-10	2,72E-10	2,74E-10	2,74E-10	2,78E-10	2,82E-10	2,82E-10	2,79E-10	2,77E-10	2,72E-10	2,62E-10	NAN
NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
