-2.550000000000000000e+02 -7.646379726261885423e+01
-2.450000000000000000e+02 -6.644353569089875577e+01
-2.350000000000000000e+02 -5.944156821406514268e+01
-2.250000000000000000e+02 -5.366394248538606604e+01
-2.150000000000000000e+02 -4.859037789072914393e+01
-2.050000000000000000e+02 -4.398296313035869076e+01
-1.950000000000000000e+02 -3.970901655306836631e+01
-1.850000000000000000e+02 -3.568533471265205748e+01
-1.750000000000000000e+02 -3.185543082402589832e+01
-1.650000000000000000e+02 -2.817864274052987383e+01
-1.550000000000000000e+02 -2.462431835216408160e+01
-1.450000000000000000e+02 -2.116844884583245445e+01
-1.350000000000000000e+02 -1.779159057300763536e+01
-1.250000000000000000e+02 -1.447751218592993006e+01
-1.150000000000000000e+02 -1.121227141764970270e+01
-1.050000000000000000e+02 -7.983556145555412265e+00
-9.500000000000000000e+01 -4.780191847199160904e+00
-8.500000000000000000e+01 -1.591754176585902236e+00
-7.500000000000000000e+01 1.591754176585904013e+00
-6.500000000000000000e+01 4.780191847199161792e+00
-5.500000000000000000e+01 7.983556145555399830e+00
-4.500000000000000000e+01 1.121227141764968849e+01
-3.500000000000000000e+01 1.447751218592991762e+01
-2.500000000000000000e+01 1.779159057300763180e+01
-1.500000000000000000e+01 2.116844884583244735e+01
-5.000000000000000000e+00 2.462431835216407450e+01
5.000000000000000000e+00 2.817864274052987383e+01
1.500000000000000000e+01 3.185543082402588411e+01
2.500000000000000000e+01 3.568533471265204327e+01
3.500000000000000000e+01 3.970901655306835210e+01
4.500000000000000000e+01 4.398296313035867655e+01
5.500000000000000000e+01 4.859037789072913682e+01
6.500000000000000000e+01 5.366394248538605893e+01
7.500000000000000000e+01 5.944156821406512847e+01
8.500000000000000000e+01 6.644353569089875577e+01
9.500000000000000000e+01 7.646379726261885423e+01
